CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T
29,35,281.386,303.134,584.52,283.689,307.709,591.398,289.198,312.353,601.551,290.34,310.315,600.655,283.598,297.673,581.271,1572.96,1458.937,3031.897,364.499,322.345,686.844
29,36,1030.69,1052.18,2082.87,1039.125,1068.059,2107.184,1059.307,1084.178,2143.485,1063.49,1077.101,2140.591,1038.794,1033.223,2072.017,5761.609,5063.968,10825.577,1335.127,1118.859,2453.986
29,37,386.36,401.296,787.656,389.523,407.352,796.875,397.088,413.5,810.588,398.656,410.801,809.457,389.398,394.066,783.464,2159.776,1931.373,4091.149,500.481,426.728,927.209
29,38,769.684,794.425,1564.109,775.983,806.414,1582.397,791.054,818.584,1609.638,794.178,813.241,1607.419,775.736,780.112,1555.848,4302.572,3823.438,8126.01,997.027,844.771,1841.798
29,39,1073.633,1175.656,2249.289,1082.419,1193.398,2275.817,1103.442,1211.409,2314.851,1107.799,1203.502,2311.301,1082.074,1154.475,2236.549,6001.658,5658.238,11659.896,1390.753,1250.16,2640.913
29,40,504.783,514.961,1019.744,508.915,522.733,1031.648,518.799,530.622,1049.421,520.847,527.159,1048.006,508.752,505.684,1014.436,2821.765,2478.426,5300.191,653.882,547.596,1201.478
29,41,1366.208,1415.024,2781.232,1377.389,1436.38,2813.769,1404.141,1458.057,2862.198,1409.686,1448.54,2858.226,1376.951,1389.531,2766.482,7637.173,6810.282,14447.455,1769.748,1504.699,3274.447
29,42,627.998,651.36,1279.358,633.137,661.19,1294.327,645.434,671.169,1316.603,647.982,666.788,1314.77,632.935,639.625,1272.56,3510.537,3134.889,6645.426,813.49,692.639,1506.129
29,43,1766.855,1824.96,3591.815,1781.315,1852.502,3633.817,1815.912,1880.459,3696.371,1823.082,1868.185,3691.267,1780.747,1792.081,3572.828,9876.808,8783.234,18660.042,2288.734,1940.613,4229.347
29,44,1971.287,2017.07,3988.357,1987.419,2047.511,4034.93,2026.019,2078.411,4104.43,2034.019,2064.845,4098.864,1986.786,1980.73,3967.516,11019.59,9707.827,20727.417,2553.549,2144.897,4698.446
29,45,291.045,302.477,593.522,293.426,307.042,600.468,299.125,311.675,610.8,300.306,309.641,609.947,293.333,297.027,590.36,1626.953,1455.771,3082.724,377.011,321.645,698.656
29,46,209.974,215.553,425.527,211.692,218.806,430.498,215.804,222.108,437.912,216.656,220.658,437.314,211.625,211.67,423.295,1173.764,1037.421,2211.185,271.994,229.213,501.207
29,47,140.055,146.075,286.13,141.202,148.279,289.481,143.945,150.516,294.461,144.513,149.534,294.047,141.157,143.442,284.599,782.92,703.032,1485.952,181.424,155.332,336.756
29,48,868.551,890.14,1758.691,875.659,903.574,1779.233,892.666,917.21,1809.876,896.191,911.223,1807.414,875.38,874.103,1749.483,4855.243,4284.097,9139.34,1125.096,946.551,2071.647
29,49,249.135,272.904,522.039,251.174,277.023,528.197,256.053,281.203,537.256,257.064,279.368,536.432,251.094,267.987,519.081,1392.679,1313.442,2706.121,322.723,290.199,612.922
29,50,471.225,493.784,965.009,475.082,501.236,976.318,484.309,508.801,993.11,486.222,505.48,991.702,474.931,484.888,959.819,2634.175,2376.502,5010.677,610.413,525.077,1135.49
29,51,191.412,192.507,383.919,192.979,195.413,388.392,196.727,198.362,395.089,197.504,197.067,394.571,192.917,189.039,381.956,1070.006,926.506,1996.512,247.95,204.707,452.657
29,52,282.121,295.172,577.293,284.43,299.627,584.057,289.955,304.149,594.104,291.1,302.164,593.264,284.34,289.854,574.194,1577.074,1420.615,2997.689,365.452,313.879,679.331
29,53,344.417,346.223,690.64,347.236,351.447,698.683,353.98,356.751,710.731,355.377,354.423,709.8,347.125,339.985,687.11,1925.308,1666.312,3591.62,446.148,368.164,814.312
29,54,252.078,256.555,508.633,254.141,260.428,514.569,259.077,264.358,523.435,260.1,262.632,522.732,254.06,251.933,505.993,1409.131,1234.76,2643.891,326.535,272.814,599.349
29,55,144.514,145.314,289.828,145.696,147.507,293.203,148.526,149.733,298.259,149.112,148.756,297.868,145.65,142.696,288.346,807.837,699.373,1507.21,187.199,154.523,341.722
29,56,348.227,368.606,716.833,351.078,374.169,725.247,357.896,379.816,737.712,359.309,377.337,736.646,350.966,361.966,712.932,1946.61,1774.043,3720.653,451.084,391.966,843.05
29,57,232.168,227.144,459.312,234.068,230.572,464.64,238.614,234.052,472.666,239.556,232.524,472.08,233.994,223.052,457.046,1297.831,1093.207,2391.038,300.744,241.538,542.282
29,58,402.002,418.247,820.249,405.292,424.559,829.851,413.163,430.967,844.13,414.795,428.154,842.949,405.162,410.712,815.874,2247.209,2012.956,4260.165,520.742,444.753,965.495
29,59,320.405,350.051,670.456,323.027,355.335,678.362,329.301,360.697,689.998,330.602,358.343,688.945,322.925,343.745,666.67,1791.081,1684.741,3475.822,415.044,372.236,787.28
29,60,223.081,229.185,452.266,224.907,232.643,457.55,229.275,236.154,465.429,230.18,234.613,464.793,224.835,225.055,449.89,1247.034,1103.027,2350.061,288.973,243.709,532.682
