Anio,CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T,Poblacion
2003,29,032,628.315,649.992,1278.307,620.299,643.12,1263.419,610.054,626.529,1236.583,584.228,578.071,1162.299,539.837,494.037,1033.874,2218.437,2017.796,4236.233,432.855,379.606,812.461,11023.176
2003,29,033,4540.416,4697.053,9237.469,4482.484,4647.397,9129.881,4408.456,4527.508,8935.964,4221.828,4177.334,8399.162,3901.037,3570.073,7471.11,16031.162,14581.264,30612.426,3127.952,2743.155,5871.107,79657.119
2003,29,034,2050.482,2121.219,4171.701,2024.319,2098.795,4123.114,1990.887,2044.652,4035.539,1906.605,1886.511,3793.116,1761.734,1612.268,3374.002,7239.778,6584.994,13824.772,1412.603,1238.826,2651.429,35973.673
2003,29,035,289.041,299.012,588.053,285.353,295.851,581.204,280.64,288.219,568.859,268.759,265.927,534.686,248.338,227.269,475.607,1020.535,928.235,1948.77,199.124,174.628,373.752,5070.931
2003,29,036,1032.375,1067.99,2100.365,1019.203,1056.7,2075.903,1002.371,1029.44,2031.811,959.936,949.82,1909.756,886.997,811.744,1698.741,3645.078,3315.409,6960.487,711.217,623.724,1334.941,18112.004
2003,29,038,773.002,799.669,1572.671,763.139,791.215,1554.354,750.536,770.804,1521.34,718.762,711.188,1429.95,664.148,607.802,1271.95,2729.291,2482.448,5211.739,532.531,467.02,999.551,13561.555
2003,29,039,1114.74,1153.197,2267.937,1100.516,1141.005,2241.521,1082.341,1111.571,2193.912,1036.521,1025.598,2062.119,957.762,876.506,1834.268,3935.888,3579.917,7515.805,767.958,673.486,1441.444,19557.006
2003,29,040,504.63,522.039,1026.669,498.192,516.52,1014.712,489.964,503.196,993.16,469.222,464.277,933.499,433.569,396.784,830.353,1781.733,1620.589,3402.322,347.647,304.88,652.527,8853.242
2003,29,041,1379.412,1427.001,2806.413,1361.813,1411.914,2773.727,1339.322,1375.492,2714.814,1282.623,1269.106,2551.729,1185.165,1084.615,2269.78,4870.388,4429.9,9300.288,950.295,833.391,1783.686,24200.437
2003,29,042,630.561,652.314,1282.875,622.515,645.418,1267.933,612.234,628.768,1241.002,586.316,580.137,1166.453,541.765,495.802,1037.567,2226.363,2025.005,4251.368,434.401,380.962,815.363,11062.561
2003,29,043,1769.376,1830.417,3599.793,1746.801,1811.066,3557.867,1717.952,1764.347,3482.299,1645.224,1627.886,3273.11,1520.214,1391.239,2911.453,6247.261,5682.243,11929.504,1218.947,1068.993,2287.94,31041.966
2003,29,044,1975.483,2043.634,4019.117,1950.278,2022.029,3972.307,1918.069,1969.867,3887.936,1836.869,1817.51,3654.379,1697.297,1553.298,3250.595,6974.975,6344.141,13319.116,1360.937,1193.515,2554.452,34657.902
2003,29,048,874.411,904.576,1778.987,863.254,895.013,1758.267,848.997,871.925,1720.922,813.055,804.487,1617.542,751.276,687.538,1438.814,3087.341,2808.114,5895.455,602.393,528.287,1130.68,15340.667
2003,29,049,257.378,266.256,523.634,254.094,263.442,517.536,249.897,256.646,506.543,239.318,236.796,476.114,221.134,202.373,423.507,908.741,826.553,1735.294,177.311,155.499,332.81,4515.438
2003,29,050,481.03,497.625,978.655,474.892,492.364,967.256,467.049,479.662,946.711,447.277,442.563,889.84,413.291,378.228,791.519,1698.405,1544.797,3243.202,331.387,290.621,622.008,8439.191
2003,29,051,188.945,195.462,384.407,186.534,193.396,379.93,183.453,188.407,371.86,175.687,173.835,349.522,162.337,148.565,310.902,667.12,606.783,1273.903,130.166,114.154,244.32,3314.844
2003,29,052,286.358,296.236,582.594,282.704,293.105,575.809,278.035,285.544,563.579,266.265,263.459,529.724,246.033,225.159,471.192,1011.063,919.62,1930.683,197.275,173.007,370.282,5023.863
2003,29,053,343.435,355.283,698.718,339.053,351.527,690.58,333.454,342.459,675.913,319.337,315.972,635.309,295.073,270.039,565.112,1212.591,1102.922,2315.513,236.597,207.491,444.088,6025.233
2003,29,054,252.16,260.859,513.019,248.943,258.102,507.045,244.832,251.444,496.276,234.467,231.996,466.463,216.651,198.271,414.922,890.32,809.797,1700.117,173.717,152.346,326.063,4423.905
2003,29,055,143.606,148.56,292.166,141.774,146.99,288.764,139.433,143.198,282.631,133.53,132.123,265.653,123.384,112.916,236.3,507.04,461.182,968.222,98.933,86.761,185.694,2519.43
2003,29,056,353.605,365.803,719.408,349.094,361.936,711.03,343.328,352.6,695.928,328.794,325.328,654.122,303.811,278.035,581.846,1248.498,1135.58,2384.078,243.603,213.636,457.239,6203.651
2003,29,057,227.645,235.498,463.143,224.741,233.009,457.75,221.029,226.998,448.027,211.672,209.441,421.113,195.589,178.995,374.584,803.763,731.068,1534.831,156.828,137.535,294.363,3993.811
2003,29,058,405.927,419.931,825.858,400.748,415.492,816.24,394.129,404.773,798.902,377.444,373.467,750.911,348.765,319.176,667.941,1433.235,1303.611,2736.846,279.648,245.246,524.894,7121.592
2003,29,059,331.265,342.694,673.959,327.039,339.071,666.11,321.638,330.324,651.962,308.022,304.776,612.798,284.617,260.47,545.087,1169.623,1063.841,2233.464,228.213,200.139,428.352,5811.732
2003,29,060,224.852,232.61,457.462,221.984,230.151,452.135,218.318,224.214,442.532,209.075,206.872,415.947,193.189,176.799,369.988,793.903,722.1,1516.003,154.904,135.848,290.752,3944.819
2004,21,015,6141.537,6336.416,12477.953,6038.196,6211.066,12249.262,5902.834,5977.697,11880.531,5528.847,5364.025,10892.872,4951.008,4429.412,9380.42,20564.137,18176.108,38740.245,4432.069,3605.515,8037.584,103658.867
2004,21,026,729.157,752.295,1481.452,716.889,737.413,1454.302,700.818,709.706,1410.524,656.416,636.847,1293.263,587.811,525.885,1113.696,2441.489,2157.969,4599.458,526.2,428.067,954.267,12306.962
2004,21,034,1988.755,2051.861,4040.616,1955.291,2011.27,3966.561,1911.458,1935.7,3847.158,1790.353,1736.981,3527.334,1603.237,1434.334,3037.571,6659.087,5885.794,12544.881,1435.194,1167.539,2602.733,33566.854
2004,21,041,5047.565,5207.73,10255.295,4962.632,5104.709,10067.341,4851.382,4912.909,9764.291,4544.011,4408.548,8952.559,4069.101,3640.415,7709.516,16901.114,14938.455,31839.569,3642.599,2963.276,6605.875,85194.446
